"","sale_year","sale_month","ZCTA","year_month","variable","value"
"390",2018,"April","68112",2018-04-01,"Mean monthly sale price",111.326923076923
"391",2018,"April","68112",2018-04-01,"Sum of all sales",1447.25
"392",2018,"April","68112",2018-04-01,"Total number of sales",13
"393",2018,"April","68114",2018-04-01,"Median monthly sale price",163.5
"394",2018,"April","68114",2018-04-01,"Mean monthly sale price",191.09275
"395",2018,"April","68114",2018-04-01,"Sum of all sales",3821.855
"396",2018,"April","68114",2018-04-01,"Total number of sales",20
"397",2018,"April","68116",2018-04-01,"Median monthly sale price",243.5
"398",2018,"April","68116",2018-04-01,"Mean monthly sale price",244.466358208955
"399",2018,"April","68116",2018-04-01,"Sum of all sales",16379.246
"400",2018,"April","68116",2018-04-01,"Total number of sales",67
"401",2018,"April","68117",2018-04-01,"Median monthly sale price",133.5
"402",2018,"April","68117",2018-04-01,"Mean monthly sale price",118.428571428571
"403",2018,"April","68117",2018-04-01,"Sum of all sales",1658
"404",2018,"April","68117",2018-04-01,"Total number of sales",14
"405",2018,"April","68118",2018-04-01,"Median monthly sale price",302.475
"406",2018,"April","68118",2018-04-01,"Mean monthly sale price",329.658333333333
"407",2018,"April","68118",2018-04-01,"Sum of all sales",1977.95
"408",2018,"April","68118",2018-04-01,"Total number of sales",6
"409",2018,"April","68122",2018-04-01,"Median monthly sale price",178.722
"410",2018,"April","68122",2018-04-01,"Mean monthly sale price",186.202590909091
"411",2018,"April","68122",2018-04-01,"Sum of all sales",4096.457
"412",2018,"April","68122",2018-04-01,"Total number of sales",22
"413",2018,"April","68124",2018-04-01,"Median monthly sale price",310
"414",2018,"April","68124",2018-04-01,"Mean monthly sale price",289.631578947368
"415",2018,"April","68124",2018-04-01,"Sum of all sales",5503
"416",2018,"April","68124",2018-04-01,"Total number of sales",19
"417",2018,"April","68127",2018-04-01,"Median monthly sale price",157.5
"418",2018,"April","68127",2018-04-01,"Mean monthly sale price",161.340625
"419",2018,"April","68127",2018-04-01,"Sum of all sales",2581.45
"420",2018,"April","68127",2018-04-01,"Total number of sales",16
"421",2018,"April","68130",2018-04-01,"Median monthly sale price",317
"422",2018,"April","68130",2018-04-01,"Mean monthly sale price",342.964689655172
"423",2018,"April","68130",2018-04-01,"Sum of all sales",9945.976
"424",2018,"April","68130",2018-04-01,"Total number of sales",29
"425",2018,"April","68131",2018-04-01,"Median monthly sale price",138
"426",2018,"April","68131",2018-04-01,"Mean monthly sale price",182.818181818182
"427",2018,"April","68131",2018-04-01,"Sum of all sales",2011
"428",2018,"April","68131",2018-04-01,"Total number of sales",11
